"name","source","type","year"
"AK-47 | Bloodsport","Spectrum Case","StatTrak",2017
"M4A1-S | Decimator","Spectrum Case","StatTrak",2017
"CZ75-Auto | Xiangliu","Spectrum Case","StatTrak",2017
"FAMAS | Eye of Athena","Horizon Case","StatTrak",2018
"PP-Bizon | Night Riot","Clutch Case","StatTrak",2018
"Five-SeveN | Flame Test","Clutch Case","StatTrak",2018
"MP9 | Black Sand","Clutch Case","StatTrak",2018
"P2000 | Urban Hazard","Clutch Case","StatTrak",2018
"R8 Revolver | Grip","Clutch Case","StatTrak",2018
"SG 553 | Aloha","Clutch Case","StatTrak",2018
"XM1014 | Oxide Blaze","Clutch Case","StatTrak",2018
"Glock-18 | Moonrise","Clutch Case","StatTrak",2018
"Negev | Lionfish","Clutch Case","StatTrak",2018
"Nova | Wild Six","Clutch Case","StatTrak",2018
"MAG-7 | SWAG-7","Clutch Case","StatTrak",2018
"UMP-45 | Arctic Wolf","Clutch Case","StatTrak",2018
"AUG | Stymphalian","Clutch Case","StatTrak",2018
"AWP | Mortis","Clutch Case","StatTrak",2018
"USP-S | Cortex","Clutch Case","StatTrak",2018
"M4A4 | Neo-Noir","Clutch Case","StatTrak",2018
"MP7 | Bloodsport","Clutch Case","StatTrak",2018
"AUG | Amber Slipstream","Horizon Case","StatTrak",2018
"Dual Berettas | Shred","Horizon Case","StatTrak",2018
"Glock-18 | Warhawk","Horizon Case","StatTrak",2018
"MP9 | Capillary","Horizon Case","StatTrak",2018
"P90 | Traction","Horizon Case","StatTrak",2018
"R8 Revolver | Survivalist","Horizon Case","StatTrak",2018
"Tec-9 | Snek-9","Horizon Case","StatTrak",2018
"CZ75-Auto | Eco","Horizon Case","StatTrak",2018
"G3SG1 | High Seas","Horizon Case","StatTrak",2018
"Nova | Toy Soldier","Horizon Case","StatTrak",2018
"AWP | PAW","Horizon Case","StatTrak",2018
"MP7 | Powercore","Horizon Case","StatTrak",2018
"M4A1-S | Nightmare","Horizon Case","StatTrak",2018
"Sawed-Off | Devourer","Horizon Case","StatTrak",2018
"AK-47 | Neon Rider","Horizon Case","StatTrak",2018
"Desert Eagle | Code Red","Horizon Case","StatTrak",2018
"MAG-7 - Rust Coat","The 2018 Inferno Collection","Souvenir",2018
"AUG - Sweeper","The 2018 Inferno Collection","Souvenir",2018
"MP9 - Slide","The 2018 Inferno Collection","Souvenir",2018
"UMP-45 - Mudder","The 2018 Inferno Collection","Souvenir",2018
"MP5-SD - Dirt Drop","The 2018 Inferno Collection","Souvenir",2018
"PP-Bizon - Candy Apple","The 2018 Inferno Collection","Souvenir",2018
"MAC-10 - Calf Skin","The 2018 Inferno Collection","Souvenir",2018
"R8 Revolver - Nitro","The 2018 Inferno Collection","Souvenir",2018
"Glock-18 - High Beam","The 2018 Inferno Collection","Souvenir",2018
