"name","source","type","year"
"Dual Berettas - Oil Change","The 2021 Vertigo Collection","Souvenir",2021
"Glock-18 - Red Tire","The 2021 Vertigo Collection","Souvenir",2021
"UMP-45 - Mechanism","The 2021 Vertigo Collection","Souvenir",2021
"SSG 08 - Carbon Fiber","The 2021 Vertigo Collection","Souvenir",2021
"PP-Bizon - Breaker Box","The 2021 Vertigo Collection","Souvenir",2021
"P90 - Schematic","The 2021 Vertigo Collection","Souvenir",2021
"Nova - Interlock","The 2021 Vertigo Collection","Souvenir",2021
"Negev - Infrastructure","The 2021 Vertigo Collection","Souvenir",2021
"Galil AR - CAUTION!","The 2021 Vertigo Collection","Souvenir",2021
"MAG-7 - Prism Terrace","The 2021 Vertigo Collection","Souvenir",2021
"P250 - Digital Architect","The 2021 Vertigo Collection","Souvenir",2021
"Five-SeveN - Fall Hazard","The 2021 Vertigo Collection","Souvenir",2021
"SG 553 - Hazard Pay","The 2021 Vertigo Collection","Souvenir",2021
"M4A1-S - Imminent Danger","The 2021 Vertigo Collection","Souvenir",2021
"AK-47 - Green Laminate","The 2021 Vertigo Collection","Souvenir",2021
"Desert Eagle | Ocean Drive","Operation Riptide Case","StatTrak",2021
"AK-47 | Leet Museo","Operation Riptide Case","StatTrak",2021
"SSG 08 | Turbo Peek","Operation Riptide Case","StatTrak",2021
"Glock-18 | Snack Attack","Operation Riptide Case","StatTrak",2021
"MAC-10 | Toybox","Operation Riptide Case","StatTrak",2021
"M4A4 | Spider Lily","Operation Riptide Case","StatTrak",2021
"MP9 | Mount Fuji","Operation Riptide Case","StatTrak",2021
"Five-SeveN | Boost Protocol","Operation Riptide Case","StatTrak",2021
"FAMAS | ZX Spectron","Operation Riptide Case","StatTrak",2021
"MAG-7 | BI83 Spectrum","Operation Riptide Case","StatTrak",2021
"XM1014 | Watchdog","Operation Riptide Case","StatTrak",2021
"USP-S | Black Lotus","Operation Riptide Case","StatTrak",2021
"PP-Bizon | Lumen","Operation Riptide Case","StatTrak",2021
"MP7 | Guerrilla","Operation Riptide Case","StatTrak",2021
"G3SG1 | Keeping Tabs","Operation Riptide Case","StatTrak",2021
"Dual Berettas | Tread","Operation Riptide Case","StatTrak",2021
"AUG | Plague","Operation Riptide Case","StatTrak",2021
"M4A4 | In Living Color","Snakebite Case","StatTrak",2021
"USP-S | The Traitor","Snakebite Case","StatTrak",2021
"Galil AR | Chromatic Aberration","Snakebite Case","StatTrak",2021
"XM1014 | XOXO","Snakebite Case","StatTrak",2021
"MP9 | Food Chain","Snakebite Case","StatTrak",2021
"AK-47 | Slate","Snakebite Case","StatTrak",2021
"Desert Eagle | Trigger Discipline","Snakebite Case","StatTrak",2021
"MAC-10 | Button Masher","Snakebite Case","StatTrak",2021
"Negev | dev_texture","Snakebite Case","StatTrak",2021
"P250 | Cyber Shell","Snakebite Case","StatTrak",2021
"Nova | Windblown","Snakebite Case","StatTrak",2021
"R8 Revolver | Junk Yard","Snakebite Case","StatTrak",2021
"UMP-45 | Oscillator","Snakebite Case","StatTrak",2021
"MP7 - Prey","The 2021 Dust 2 Collection","Souvenir",2021
"Sawed-Off - Parched","The 2021 Dust 2 Collection","Souvenir",2021
"AUG - Spalted Wood","The 2021 Dust 2 Collection","Souvenir",2021
"Five-SeveN - Withered Vine","The 2021 Dust 2 Collection","Souvenir",2021
"M249 - Midnight Palm","The 2021 Dust 2 Collection","Souvenir",2021
"Nova - Quick Sand","The 2021 Dust 2 Collection","Souvenir",2021
"G3SG1 - New Roots","The 2021 Dust 2 Collection","Souvenir",2021
"Galil AR - Amber Fade","The 2021 Dust 2 Collection","Souvenir",2021
"USP-S - Orange Anolis","The 2021 Dust 2 Collection","Souvenir",2021
"M4A4 - Red DDPAT","The 2021 Dust 2 Collection","Souvenir",2021
"MAC-10 - Case Hardened","The 2021 Dust 2 Collection","Souvenir",2021
"UMP-45 - Fade","The 2021 Dust 2 Collection","Souvenir",2021
"SSG 08 - Death Strike","The 2021 Dust 2 Collection","Souvenir",2021
"AK-47 - Gold Arabesque","The 2021 Dust 2 Collection","Souvenir",2021
"P250 - Black & Tan","The 2021 Dust 2 Collection","Souvenir",2021
"Dual Berettas - Drift Wood","The 2021 Mirage collection","Souvenir",2021
"P250 - Drought","The 2021 Mirage collection","Souvenir",2021
"PP-Bizon - Anolis","The 2021 Mirage collection","Souvenir",2021
"MAG-7 - Navy Sheen","The 2021 Mirage collection","Souvenir",2021
"MAC-10 - Sienna Damask","The 2021 Mirage collection","Souvenir",2021
"SSG 08 - Prey","The 2021 Mirage collection","Souvenir",2021
"FAMAS - CaliCamo","The 2021 Mirage collection","Souvenir",2021
"CZ75-Auto - Midnight Palm","The 2021 Mirage collection","Souvenir",2021
"P90 - Verdant Growth","The 2021 Mirage collection","Souvenir",2021
"XM1014 | Zombie Offensive","Dreams & Nightmares Case","StatTrak",2022
"M4A1-S | Night Terror","Dreams & Nightmares Case","StatTrak",2022
"G3SG1 | Dream Glade","Dreams & Nightmares Case","StatTrak",2022
"PP-Bizon | Space Cat","Dreams & Nightmares Case","StatTrak",2022
"Sawed-Off | Spirit Board","Dreams & Nightmares Case","StatTrak",2022
"SCAR-20 | Poultrygeist","Dreams & Nightmares Case","StatTrak",2022
"Negev | Drop Me","Recoil Case","StatTrak",2022
"MAC-10 | Monkeyflage","Recoil Case","StatTrak",2022
"M4A4 | Poly Mag","Recoil Case","StatTrak",2022
"Galil AR | Destroyer","Recoil Case","StatTrak",2022
"FAMAS | Meow 36","Recoil Case","StatTrak",2022
"MP7 | Abyssal Apparition","Dreams & Nightmares Case","StatTrak",2022
"MP9 | Starlight Protector","Dreams & Nightmares Case","StatTrak",2022
"AWP | Chromatic Aberration","Recoil Case","StatTrak",2022
"USP-S | Printstream","Recoil Case","StatTrak",2022
"Sawed-Off | Kiss♥Love","Recoil Case","StatTrak",2022
"P250 | Visions","Recoil Case","StatTrak",2022
"AK-47 | Ice Coaled","Recoil Case","StatTrak",2022
"Dual Berettas | Flora Carnivora","Recoil Case","StatTrak",2022
"P90 | Vent Rush","Recoil Case","StatTrak",2022
"SG 553 | Dragon Tech","Recoil Case","StatTrak",2022
"M249 | Downtown","Recoil Case","StatTrak",2022
"R8 Revolver | Crazy 8","Recoil Case","StatTrak",2022
"Glock-18 | Winterized","Recoil Case","StatTrak",2022
"UMP-45 | Roadblock","Recoil Case","StatTrak",2022
"AK-47 | Nightwish","Dreams & Nightmares Case","StatTrak",2022
"P2000 | Lifted Spirits","Dreams & Nightmares Case","StatTrak",2022
"MP5-SD | Necro Jr.","Dreams & Nightmares Case","StatTrak",2022
"MAG-7 | Foresight","Dreams & Nightmares Case","StatTrak",2022
"MAC-10 | Ensnared","Dreams & Nightmares Case","StatTrak",2022
"Five-SeveN | Scrawl","Dreams & Nightmares Case","StatTrak",2022
"Dual Berettas | Melondrama","Dreams & Nightmares Case","StatTrak",2022
"USP-S | Ticket to Hell","Dreams & Nightmares Case","StatTrak",2022
"FAMAS | Rapid Eye Movement","Dreams & Nightmares Case","StatTrak",2022
"Tec-9 | Rebel","Revolution Case","StatTrak",2023
"M4A1-S | Emphorosaur-S","Revolution Case","StatTrak",2023
"Glock-18 | Umbral Rabbit","Revolution Case","StatTrak",2023
"MAC-10 | Sakkaku","Revolution Case","StatTrak",2023
"R8 Revolver | Banana Cannon","Revolution Case","StatTrak",2023
"P90 | Neoqueen","Revolution Case","StatTrak",2023
"AWP | Duality","Revolution Case","StatTrak",2023
"UMP-45 | Wild Child","Revolution Case","StatTrak",2023
"P2000 | Wicked Sick","Revolution Case","StatTrak",2023
"M4A4 | Temukau","Revolution Case","StatTrak",2023
"AK-47 | Head Shot","Revolution Case","StatTrak",2023
"AUG - Snake Pit","The Anubis Collection","Souvenir",2023
"M249 - Submerged","The Anubis Collection","Souvenir",2023
"XM1014 - Hieroglyph","The Anubis Collection","Souvenir",2023
"MP7 - Sunbaked","The Anubis Collection","Souvenir",2023
"R8 Revolver - Inlay","The Anubis Collection","Souvenir",2023
"SSG 08 - Azure Glyph","The Anubis Collection","Souvenir",2023
"MAC-10 - Echoing Sands","The Anubis Collection","Souvenir",2023
"USP-S - Desert Tactical","The Anubis Collection","Souvenir",2023
"M4A1-S - Mud-Spec","The Anubis Collection","Souvenir",2023
"Tec-9 - Mummy's Rot","The Anubis Collection","Souvenir",2023
"AK-47 - Steel Delta","The Anubis Collection","Souvenir",2023
"AWP - Black Nile","The Anubis Collection","Souvenir",2023
"Nova - Sobek's Bite","The Anubis Collection","Souvenir",2023
"P90 - ScareB Rush","The Anubis Collection","Souvenir",2023
"Glock-18 - Ramese's Revenge","The Anubis Collection","Souvenir",2023
"P250 - Apep's Curse","The Anubis Collection","Souvenir",2023
"FAMAS - Water of Nephthys","The Anubis Collection","Souvenir",2023
"M4A4 - Eye of Horus","The Anubis Collection","Souvenir",2023
"MAG-7 - Copper Coated","The Anubis Collection","Souvenir",2023
"MAG-7 | Insomnia","Revolution Case","StatTrak",2023
"MP9 | Featherweight","Revolution Case","StatTrak",2023
"SCAR-20 | Fragments","Revolution Case","StatTrak",2023
"P250 | Re.built","Revolution Case","StatTrak",2023
"MP5-SD | Liquidation","Revolution Case","StatTrak",2023
"SG 553 | Cyberforce","Revolution Case","StatTrak",2023
